codigo_cliente,sexo_cliente,intervalo_medio
1018,F,111
7058,F,26
3333,F,45
2628,F,11
4589,F,67
1994,F,16
6818,F,77
7877,F,8
230,F,69
4152,F,46
9133,F,30
17331,F,43
2585,F,46
4901,M,44
10256,F,35
2806,F,76
5563,M,132
5669,F,89
26565,F,14
1467,F,30
3428,F,57
9508,F,27
3822,F,75
9862,F,70
1952,M,13
5078,F,101
7941,F,73
10059,F,131
15040,F,86
27778,F,1
3322,M,59
3542,F,39
499,M,45
6382,M,76
12642,F,225
916,F,107
1113,F,66
2377,M,20
2574,M,28
4912,F,207
10575,M,61
11697,F,211
1030,F,23
4050,F,41
6913,F,30
1121,M,158
2286,F,10
6102,M,38
289,F,79
373,M,64
1545,F,101
2447,F,136
3506,F,37
4565,F,168
5781,F,122
8801,F,33
683,F,108
1742,F,48
880,F,79
3196,M,110
4959,F,54
7234,F,85
2364,F,13
21229,F,62
1743,M,34
7856,F,37
23544,F,11
2956,M,13
6092,F,56
6994,F,157
994,F,152
4014,F,61
9931,F,49
911,F,259
7108,F,139
14207,F,5
1306,M,162
2365,M,79
4128,F,92
6444,M,53
9423,F,80
21032,F,97
24052,F,13
558,M,50
7730,F,270
1814,M,94
13065,F,6
2986,F,167
7222,F,130
2479,M,73
10439,F,97
4971,F,123
5967,M,63
10109,F,4
13129,F,227
1089,F,60
2987,M,126
3207,F,21
5325,F,82
6384,F,44
8436,M,145
1640,F,55
4660,F,49
786,M,45
5242,F,160
13243,F,136
20930,F,28
144,F,98
1203,F,33
3321,F,150
5439,F,1
10420,F,92
15558,F,98
2353,M,74
2459,F,70
4668,M,44
61,F,87
1120,F,60
3920,M,27
18221,F,25
1408,M,161
1514,F,54
2467,M,14
3632,F,46
4428,M,10
4534,F,77
9829,F,23
3723,M,65
4782,M,263
7006,F,8
2136,F,72
2975,M,62
5864,F,29
923,F,121
3943,F,184
12101,F,251
1044,F,60
11404,M,74
22929,F,20
3202,F,255
577,M,23
2695,M,53
3556,F,61
2694,F,8
2892,M,112
3753,F,124
21559,F,25
99,F,36
4262,M,87
296,F,128
5675,M,33
6493,F,81
14651,F,209
24299,F,3
1552,F,47
4572,F,214
5986,M,135
8808,F,4
2808,F,19
3006,M,60
11123,F,43
3233,F,57
7469,F,88
9430,F,2
1553,M,1
3430,F,165
2061,M,305
4883,F,95
24807,F,34
1313,M,40
2372,M,5
5549,M,137
6608,M,48
608,M,68
2569,M,39
4603,F,66
1978,M,109
4998,M,32
10997,F,319
14017,F,101
4095,F,37
13312,F,38
1427,M,18
80,F,39
2041,F,273
3100,F,27
3191,M,4
482,M,94
1761,F,52
3722,F,120
7738,M,94
20626,F,56
1958,F,302
19921,F,42
4273,F,95
9411,F,75
22079,F,30
285,M,297
4364,M,284
4470,F,58
5686,F,75
14746,F,243
3836,F,39
950,M,55
1013,F,209
2911,M,172
3131,F,87
1367,F,32
2269,F,13
5446,F,29
11486,F,6
10675,M,141
23449,F,32
8186,F,307
5363,F,90
13521,F,33
2383,F,42
6619,F,42
15679,F,24
2474,M,243
3533,M,32
3760,F,176
6937,F,82
3055,F,30
11213,F,16
13331,F,154
1332,M,51
3252,F,254
2547,F,32
16195,M,91
149,F,56
1051,F,95
1135,M,9
2110,F,29
5287,F,161
9366,F,101
3564,M,54
11524,F,111
17250,F,183
543,F,26
3563,F,60
3761,M,50
4622,F,42
1249,M,27
3283,F,58
460,F,18
1362,F,31
2619,M,152
4382,F,151
6657,F,19
7716,F,133
12697,F,88
5795,F,34
3127,M,36
4102,F,59
5318,F,150
11358,F,28
3324,M,113
574,F,51
2535,F,138
2733,M,148
4496,F,36
4694,M,45
7673,F,25
13870,F,27
2930,M,39
5909,F,74
6968,F,64
1343,F,94
3461,F,252
11619,F,264
418,M,40
3658,F,194
6835,F,6
15895,F,16
18444,F,0
23582,F,35
24641,F,9
835,F,138
3044,M,36
3150,F,79
8182,M,21
3355,M,67
5693,F,42
752,F,94
1654,F,156
2713,F,80
23696,F,28
244,F,41
1040,M,73
1146,F,28
3158,M,62
3264,F,24
7343,F,78
512,F,79
1571,F,54
6004,F,100
6201,F,152
8319,F,306
12241,F,35
2213,M,128
3221,F,14
5496,F,148
9575,F,97
1685,F,70
5921,F,113
4000,F,27
6118,F,85
11099,F,2
1071,M,44
3335,F,104
4288,M,69
6406,M,28
7465,M,223
9532,F,311
19180,F,76
23259,F,14
593,F,91
8046,F,126
2046,F,238
8243,F,266
22872,F,45
1184,F,68
5618,M,66
9499,F,20
550,F,152
1609,F,19
4629,F,15
42,F,322
1101,F,5
6239,F,139
21025,F,127
239,F,31
8554,F,123
2866,M,243
3684,F,67
156,F,22
354,M,71
1256,M,104
5137,F,177
1610,M,49
3571,M,10
10629,F,2
1059,M,55
5054,F,2
1370,M,164
2429,M,132
12507,F,25
467,F,54
2428,F,14
6664,F,9
11802,F,24
2098,F,68
12374,F,233
5409,M,52
5629,F,89
6531,F,9
9551,F,8
25396,F,11
2649,F,109
13016,M,12
8763,F,0
9602,M,153
9665,F,6
17352,F,20
2657,M,73
2763,F,123
6842,F,65
7901,F,255
10019,F,200
4019,F,65
14295,F,199
2326,F,18
7401,M,149
342,M,44
562,F,166
850,M,141
2015,F,52
1381,F,114
20403,F,153
1515,M,219
